No.,제목,URL
1,[스타트업 스트리트] 수수료 3만원·오차율 0.004%…자영업자 공략하는 세무테...,https://www.sedaily.com/NewsView/2D47K7YKU4
2,[세미콜론] 국세청 '모두채움서비스' 어디까지 왔나…'간편신고'에서 '환급금...,https://www.sejungilbo.com/news/articleView.html?idxno=46521
3,잇따른 '제4인뱅' 출범 선언에도...자본 확보 가능성엔 여전히 '물음표',https://www.youthdaily.co.kr/news/article.html?no=144006
4,제4인터넷은행 도전한다는 김범섭 자비스앤빌런즈 대표,https://www.mk.co.kr/article/10919622
5,"[Invest]현대해상ㆍ렌딧, 제4인터넷은행 참여 검토…SKT 등에도 제안",http://www.investchosun.com/site/data/html_dir/2024/01/18/2024011880070.html
6,1년째 말로만 은행 과점 해소…'메기' 등장 요원,http://www.newstomato.com/ReadNews.aspx?no=1216615&inflow=N
7,"4대보험 대신 3.3% 떼는 7,878,928명의 이름",http://www.labortoday.co.kr/news/articleView.html?idxno=219374
8,"삼쩜삼, 세무 스타트업 최고 누적 세금신고 1000만 건 돌파",https://www.busan.com/view/busan/view.php?code=2024011713254119450
9,‘삼쩜삼’ ‘소소뱅크’ 제4인뱅 두드린다,https://www.chosun.com/economy/economy_general/2024/01/17/MWD22TVAZVGNPMAABFQYMTBM2Q/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
10,"""국민 세무기업으로 도약""…삼쩜삼, 누적 세금신고 1천만건 돌파",http://news.mt.co.kr/mtview.php?no=2024011615100122183
11,"세금신고 1천만 건 넘어선 삼쩜삼, “누적 환급액 1조원 달성 목표”",https://magazine.hankyung.com/job-joy/article/202401168500d
12,"자비스앤빌런즈, '국민 세무 기업'으로 자리매김",https://www.datanet.co.kr/news/articleView.html?idxno=190358
13,"에이블리, 첫 흑자 달성…삼쩜삼의 누적 세금신고 1000만 건 돌파[Geeks' Bri...",https://www.hankyung.com/article/202401167734i
14,청호나이스 인기제품 만나보세요…17일 'G라이브' 방송[중기소식],http://www.newsis.com/view/?id=NISX20240116_0002593435&cID=10433&pID=13000
15,"자비스앤빌런즈 '삼쩜삼', 누적 세금신고 1천만건 돌파 '세무 스타트업 최초'",https://www.thedailypost.kr/news/articleView.html?idxno=103274
16,"삼쩜삼, 누적 세금신고 1천만 건 돌파",https://www.venturesquare.net/910172
17,"삼쩜삼, 누적 세금신고 1000만건 돌파…“누적 환급액 1조 목표”",https://www.etnews.com/20240116000075
18,"삼쩜삼, 세무 스타트업 최초 누적 세금신고 1천만 건 돌파",https://platum.kr/archives/221035
19,[세무人] 세무사 '직무플랫폼' 개발 급피치 올린 '황성훈 세무사회 전산이사',https://www.sejungilbo.com/news/articleView.html?idxno=46408
20,"'삼쩜삼·APR 발굴' 모비릭스파트너스, 벤처투자 성과 본격화 [시그널]",https://www.sedaily.com/NewsView/2D43E7DFXU
